id_category;id_parent;id_shop_default;level_depth;nleft;nright;active;date_add;date_upd;position;is_root_category;id_shop;id_lang;name;description;link_rewrite;meta_title;meta_keywords;meta_description;
"50";"17";"1";"3";"112";"113";"0";"2015-09-19 13:32:03";"2015-10-03 16:22:09";"0";"0";"1";"1";"Dinafem";"";"dinafem";"";"";"";
"51";"17";"1";"3";"114";"115";"0";"2015-09-19 13:33:00";"2015-10-03 16:22:12";"1";"0";"1";"1";"Geaseeds";"";"geaseeds";"";"";"";
"52";"17";"1";"3";"116";"117";"1";"2015-09-19 13:33:32";"2015-09-28 10:27:48";"2";"0";"1";"1";"Sensi Seeds";"Sensi Seeds, solo leyendo su nombre nos provoca sensaciones mágicas, Sensi Seeds es uno de los bancos de semillas de marihuana más reconocidos y importantes del mundo.  ";"sensi-seeds";"Sensi Seeds Semillas De Marihuana";"Sensi Seeds,semillas Sensi Seeds,semillas Sensi Seeds de calidad,semillas Sensi Seeds baratas";"";
"53";"17";"1";"3";"118";"119";"0";"2015-09-19 13:33:56";"2015-10-03 16:22:38";"3";"0";"1";"1";"Sweet Seeds";"Este famoso y excelente banco de semillas conocido como Sweet Seeds está especializado en la selección, conversación y mejora genética de las nuevas gamas de semillas feminizadas de marihuana y también autoflorecientes de altísima calidad.
Las principales variedades de Sweet Seeds destacan en sus propiedades organolépticas.
Son aromáticas y dulces, además son fáciles para el cultivo exterior y cultivo interior de cannabis.
Nuestras semillas de Sweet Seeds pasan por un riguroso proceso de selección y únicamente las mejores semillas de marihuana pasan al envasado, además de conservarse en condiciones de baja temperatura y humedad para así poder garantizar al 95% su germinación.";"sweet-seeds";"Sweet Seeds Semillas De Marihuana";"Sweet Seeds,semillas Sweet Seeds,semillas Sweet Seeds baratas,semillas Sweet Seeds de calidad";"";
"54";"17";"1";"3";"120";"121";"0";"2015-09-19 13:34:21";"2015-10-15 18:24:39";"4";"0";"1";"1";"Dutch Passion";"Este banco de semillas de marihuana llamado Dutch Passion produce, desarrolla, mejora y vende semillas de
marihuana desde el año 1987.
Dutch Passion és una de las principales empresas holandesas especializadas en crianza y producción de semillas de cannabis.
";"dutch-passion";"Dutch Passion Semillas De Marihuana";"Dutch Passion,semillas Dutch Passion,semillas Dutch Passion baratas,semillas Dutch Passion de calidad";"";
"55";"17";"1";"3";"122";"123";"0";"2015-09-19 13:34:45";"2015-10-15 18:24:34";"5";"0";"1";"1";"Cannabiogen";"Este banco de semillas denominado Cannabiogen trajo de sus largos viajes unas variedades de semillas de marihuana buscadas en lugares como Colombia, montañas de Jamaica, Pakistan, India, Tailandia… Para luego estabilizarlas y mejorar su calidad y producción. ";"cannabiogen";"Cannabiogen Semillas De Marihuana";"Cannabiogen,semillas Cannabiogen,semillas Cannabiogen baratas,semillas Cannabiogen de calidad";"";
"56";"17";"1";"3";"124";"125";"0";"2015-09-19 13:35:06";"2015-10-03 16:23:24";"6";"0";"1";"1";"Advanced Seeds";"Todas las semillas de marihuana de Advanced Seeds han sido producidas y desarolladas mediante métodos orgánicos de cultivo.Advanced Seeds únicamente utiliza insecticidas y fertilizantes naturales en su producción.Advanced Seeds emplea un sistema totalmente seguro para obtener semillas feminizadas sin ningún tipo de ingeniería genética de máxima calidad, toda la producción de semillas de marihuana feminizadas se realiza bajo unos estrictos controles en cámaras aisladas que garantizan la identidad y pureza de cada cepa.";"advanced-seeds";"Advanced Seeds Semillas De Marihuana";"Advanced Seeds,semillas Advanced Seeds,semillas Advanced Seeds baratas,semillas Advanced Seeds de calidad";"";
"57";"17";"1";"3";"126";"127";"1";"2015-09-19 13:35:31";"2015-09-28 10:30:35";"7";"0";"1";"1";"Buddha Seeds";"Este banco de semillas de marihuana conocido como Buddha Seeds se ha esforzado en todo momento en ofrecer variedades de marihuana automáticas de altísima calidad, consiguiendo excelentes resultados en cuanto a sabor y efecto, con una producción que va de buena a muy buena, a medida que van evolucionando en su trabajo de selección y estabilización.
Cada generación cuenta, y Buddha Seeds consigue destacar en cada salto evolutivo, estando siempre presente en boca de todos como un banco marihuana automática de alta calidad.";"buddha-seeds";"Buddha Seeds Semillas De Marihuana";"Buddha Seeds,semillas Buddha Seeds,semillas Buddha Seeds de calidad,semillas Buddha Seeds baratas";"";
"58";"17";"1";"3";"128";"129";"1";"2015-09-19 13:36:01";"2015-09-28 10:31:00";"8";"0";"1";"1";"Barney's Farm";"Este banco de semillas de cannabis es conocido como Barney's Farm ha estado seleccionando genéticas de todo el mundo desde los años 80, y esto le ha permitido a Barney's Farm crear cruces al alcance de muy pocos bancos y así poder ofrecer a sus clientes nuevos y suculentos cruces.";"barney-s-farm";"Barney's Farm Semillas De Marihuana";"Barney's Farm,semillas Barney's Farm,semillas Barney's Farm baratas,semillas Barney's Farm de calidad";"";
"59";"17";"1";"3";"130";"131";"0";"2015-09-19 13:36:34";"2015-10-03 16:24:31";"9";"0";"1";"1";"Positronics";"Este famoso banco nombrado Positronics colaboró activamente en el nacimiento y desarroyo de los primeros híbridos de Cannabis en los años setenta.Se consiguió, no sin problemas, exportar nuevas variedades a Holanda donde se instalaron para poder trabajar de una forma profesional. Fueron pioneros en desarrollar la técnica de cultivo sin semilla mediante esquejes, que supuso todo una revolución para finales de los años setenta.Positronics se consolidó en Ámsterdam como la empresa pionera en la crianza selectiva del Cannabis. Desde entonces hasta hoy, el siglo XXI, la crianza no ha dejado de extenderse entre miles de cultivadores.

";"positronics";"Positronics Semillas De Marihuana";"Positronics,semillas Positronics,semillas Positronics de calidad,semillas Positronics baratas";"";
